Civilité,Prenom,Nom,Societe,Site,Departement,Service,fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable,
M.,Damien,Calouhouet,I-magyne,Paris,Communication et Relations publiques,Relation Médias,Monteur,Aurelien,Brunet,-,-,-,-,0612558490,
M.,Alban,Dumas,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA78671,HP,02/12/1987,0197796902,0615034263,
Mme,Felianne,Fernandez,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA92969,DELL,17/11/1992,0122223912,0655605121,
Mme,Régina,Illaconnesé,BillU,Paris,Communication et Relations publiques,Relation Médias,Chargée relation presse,Aurelien,Brunet,PA99009,DELL,16/11/1994,0155106945,0643567057,
M.,Felix,Jean,Studio Dlight,Nantes,Communication et Relations publiques,Relation Médias,Monteur,Aurelien,Brunet,-,-,-,-,0684213048,
Mme,Sophia,Kusmérowic,BillU,Paris,Communication et Relations publiques,Relation Médias,Chargée relation presse,Aurelien,Brunet,PA76764,DELL,10/08/1988,0134259365,0732836175,
M.,Ravi,Martin,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA44820,DELL,27/04/2000,0158410241,0685102390,
Mme,Salma,Singh,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA58693,DELL,18/03/1995,0112550362,0763025412,
Mme,Elsa,Tashi,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA10326,DELL,08/12/1996,0199523757,0759440381,
M.,Corentin,Arnaud,BillU,Paris,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,PA11094,DELL,01/01/1991,0148522008,0710630503,
M.,Diego,Aubert,BillU,Paris,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,PA19149,DELL,14/05/1989,0198004015,0736672209,
M.,Loic,Blanc,BillU,Paris,Communication et Relations publiques,Communication interne,Chargé en droit de la communication,Gaelle,Colin,PA88356,DELL,03/11/1982,0160352162,0747070420,
